index,種類,効果,対象,ID
0,攻撃,2〜3ターン同じ攻撃を続け、その後混乱,1,150
1,攻撃,4〜5ターン拘束,1,149
2,攻撃,5ターンの間 能力を下げられなくなる　自分の場,1,162
3,攻撃,HP吸収与えたダメージの1/2,1,141
4,攻撃,このターンに相手からダメージを受けていると威力倍,1,115
5,攻撃,このターンに相手からダメージを受けていると失敗,1,109
6,攻撃,なんらかの地相の時威力倍、成功した時地相解除,1,164
7,攻撃,なんらかの天候の時威力倍、成功した時天候解除,1,163
8,攻撃,バリアオプション貫通,1,243
9,攻撃,まもる系解除,1,170
10,攻撃,外した時反動ダメージ1/2,1,124
11,攻撃,固定ダメージ（999）,1,138
12,攻撃,固定ダメージ（このターン受けたスキルダメージの倍）,1,137
13,攻撃,固定ダメージ（このターン受けた拡散ダメージの倍）,1,136
14,攻撃,固定ダメージ（このターン受けた集中ダメージの倍）,1,135
15,攻撃,固定ダメージ（自分のレベル）,1,133
16,攻撃,固定ダメージ（自分の現在HP）自分は戦闘不能,1,134
17,攻撃,固定ダメージ（相手現在HPの半分）,1,139
18,攻撃,固定ダメージ（相手現在HP-自分現在HP）,1,140
19,攻撃,控え最後の人形の第一属性になる,1,227
20,攻撃,攻撃した後、交代する,1,60
21,攻撃,次のターン反動で動けない,1,50
22,攻撃,自分が後攻の時威力倍,1,110
23,攻撃,自分が状態異常の時威力倍　恐怖・暗闇無視,1,123
24,攻撃,自分が装飾品を持っていない時のみ使用可能 相手を毒に,1,147
25,攻撃,自分が装飾品を持っていない時威力倍,1,111
26,攻撃,自分の5ステ1段上昇,1,63
27,攻撃,自分の5ステからランダムに1段上昇,1,65
28,攻撃,自分のコストが相手より高いほど威力が上がる,1,121
29,攻撃,自分の現在HPが少ないほど威力が上がる,1,122
30,攻撃,自分の現在HPが多いほど威力が上がる,1,117
31,攻撃,自分の散弾1段上昇,1,31
32,攻撃,自分の散弾2段低下,1,56
33,攻撃,自分の散防1段上昇,1,32
34,攻撃,自分の持つスキルをすべて使うと使用可能,1,144
35,攻撃,自分の集弾・散弾の代わりに相手の集弾・散弾でダメージ計算,1,129
36,攻撃,自分の集弾・集防1段低下,1,62
37,攻撃,自分の集弾1段上昇,1,29
38,攻撃,自分の集弾2段低下,1,234
39,攻撃,自分の集防・散防1段低下,1,49
40,攻撃,自分の集防1段上昇,1,30
41,攻撃,自分の俊敏1段上昇,1,33
42,攻撃,自分の俊敏が1段低下,1,226
43,攻撃,自分の場の設置物を吹き飛ばす,1,171
44,攻撃,自分の能力ランクが高いほど威力が上がる,1,119
45,攻撃,自分は戦闘不能になる　集防散防半減計算,1,88
46,攻撃,自分を無防備に,1,127
47,攻撃,前のターンに自分の人形が倒されていると威力倍,1,116
48,攻撃,相手が交代する際にスキルを出すと交代前に発動威力倍,1,148
49,攻撃,相手が攻撃スキルを選び、かつ先攻の場合成功する,1,107
50,攻撃,相手が持っている消費道具を奪って自分に使う,1,172
51,攻撃,相手が状態異常の時威力倍,1,113
52,攻撃,相手が装飾品を持つ場合、威力が1.5倍、装飾品を持たない状態に,1,143
53,攻撃,相手が毒・猛毒状態の時威力倍,1,112
54,攻撃,相手が補助使っている場合威力2倍　結界バリアオプション無効,1,228
55,攻撃,相手の5ステからランダムに1段低下,1,64
56,攻撃,相手のFプロテクト・Fバリアの効果を受けず、それを壊す,1,142
57,攻撃,相手のコストが高いほど威力が上がる,1,126
58,攻撃,相手の現在HPが最大HPの半分以下の時威力倍,1,114
59,攻撃,相手の現在HPが多いほど威力が上がる,1,118
60,攻撃,相手の散弾1段低下,1,36
61,攻撃,相手の散防1段低下,1,37
62,攻撃,相手の散防2段低下,1,77
63,攻撃,相手の集弾1段低下,1,34
64,攻撃,相手の集防・散防を入れ替えてダメージ計算,1,130
65,攻撃,相手の集防1段低下,1,35
66,攻撃,相手の俊敏1段低下,1,38
67,攻撃,相手の装飾品を奪う,1,146
68,攻撃,相手の能力ランクが高いほど威力が上がる,1,120
69,攻撃,相手の能力ランクを元に戻す,1,131
70,攻撃,相手の能力ランク無視,1,132
71,攻撃,相手の命中1段低下,1,78
72,攻撃,相手より俊敏が低いほど威力が上がる,1,125
73,攻撃,相手を暗闇に,1,3
74,攻撃,相手を火傷に,1,2
75,攻撃,相手を火傷に　痛烈になりやすい,1,100
76,攻撃,相手を怯み,1,18
77,攻撃,相手を怯み　最初のターンのみ成功,1,106
78,攻撃,相手を怯み　相手がカモフラージュ状態の時必中威力倍,1,105
79,攻撃,相手を恐怖に,1,4
80,攻撃,相手を混乱　濃霧時必中　凪時命中半減　成功した時凪・濃霧を解除,1,165
81,攻撃,相手を混乱に,1,17
82,攻撃,相手を吹き飛ばす,1,58
83,攻撃,相手を衰弱に,1,94
84,攻撃,相手を停止に,1,6
85,攻撃,相手を毒に,1,1
86,攻撃,相手を毒に　痛烈になりやすい,1,93
87,攻撃,相手を麻痺or暗闇or恐怖,1,96
88,攻撃,相手を麻痺に,1,5
89,攻撃,相手を無防備に,1,128
90,攻撃,相手を猛毒に,1,95
91,攻撃,地相によって威力・属性変化,1,161
92,攻撃,痛烈になりやすい,1,19
93,攻撃,通常攻撃,1,0
94,攻撃,天候によって威力・属性変化,1,160
95,攻撃,反動ダメージ1/2,1,52
96,攻撃,反動ダメージ1/3,1,51
97,攻撃,反動ダメージ1/3　相手を火傷に,1,99
98,攻撃,反動ダメージ1/3　相手を恐怖に,1,108
99,攻撃,反動ダメージ1/3　相手を麻痺に,1,98
100,攻撃,反動ダメージ1/4,1,97
101,攻撃,溜め　1ターン目に自分の集防ランクを1段階上昇させる,1,145
102,攻撃,溜め　極光時溜め無し　極光以外の天候の時威力半減,1,166
103,攻撃,溜め　相手を怯み・痛烈1,1,55
104,攻撃,溜め　濃霧時溜め無し　濃霧以外の天候の時威力半減,1,235
105,攻撃,溜め　溜めてる間 ほとんどのスキル無効 　防御結界無効,1,169
106,攻撃,連続2〜5回,1,53
107,攻撃,連続2回,1,224
108,変化,4ターンの間 俊敏が倍に 場の効果,0,175
109,変化,5ターンの間 状態異常にかからなくなる。場の効果,0,176
110,変化,HP1/4使ってバリア展開,0,59
111,変化,HPと状態異常を全快し、2ターンの間 停止状態になる,0,177
112,変化,おばけごっこ,0,241
113,変化,印補正のかかっているステ2段上昇,0,233
114,変化,再生回復　そのターン風属性を失う,0,184
115,変化,最後に使われたスキルで相手に攻撃する,0,185
116,変化,最後に使用した装飾品を手にいれる。自分がすでに装飾品を持っている時は失敗,0,186
117,変化,使ったターン スキルを防ぐ（防御結界）,0,167
118,変化,次ターン終了時HPが最大HPの半分回復。交代した場合は交代後の人形が回復,0,187
119,変化,次の行動までに相手のスキルで倒れた場合 相手に999ダメージ,0,181
120,変化,自分が停止状態でない時失敗。自分のスキルのうち1つをランダムで使う,0,151
121,変化,自分が瀕死になるかわりに次に出す人形の状態異常とHPとPPが全快する,0,189
122,変化,自分すべての人形の状態異常を治す,0,92
123,変化,自分と相手を破滅状態にする,0,198
124,変化,自分の5ステ+命中回避からランダムに2段上昇,0,84
125,変化,自分の5ステからランダムに1段上昇,0,85
126,変化,自分のHPを最大HPの半分減　自分の集弾を最大まで上昇,0,87
127,変化,自分のアビリティを相手と同じにする,0,199
128,変化,自分の回避1段上昇,0,79
129,変化,自分の回避2段上昇「カモフラージュ」,0,80
130,変化,自分の最大HPの50％回復,0,54
131,変化,自分の散弾・散防・俊敏1段上昇,0,66
132,変化,自分の散弾・散防1段上昇,0,67
133,変化,自分の散弾・俊敏1段上昇,0,68
134,変化,自分の散弾1段上昇,0,9
135,変化,自分の散弾2段上昇,0,41
136,変化,自分の散弾3段上昇,0,69
137,変化,自分の散防1段上昇,0,10
138,変化,自分の散防2段上昇,0,42
139,変化,自分の散防ランクを1段階上昇させる　次のターン自分の雷属性のスキルの威力倍　,0,200
140,変化,自分の集弾・散弾・俊敏2段上昇、集防・散防１段低下,0,70
141,変化,自分の集弾・散弾ランクを1段階上昇させる。晴れ時2段階,0,201
142,変化,自分の集弾・集防・命中1段上昇,0,82
143,変化,自分の集弾・集防1段上昇,0,72
144,変化,自分の集弾・集防1段上昇、俊敏１段低下,0,71
145,変化,自分の集弾・俊敏1段上昇,0,73
146,変化,自分の集弾・命中1段上昇,0,83
147,変化,自分の集弾1段、俊敏2段上昇,0,76
148,変化,自分の集弾1段上昇,0,7
149,変化,自分の集弾2段上昇,0,39
150,変化,自分の集弾と集防を入れ替える　ランクは変化しない,0,202
151,変化,自分の集防・散防1段上昇,0,74
152,変化,自分の集防1段上昇,0,8
153,変化,自分の集防2段上昇,0,40
154,変化,自分の集防3段上昇,0,75
155,変化,自分の俊敏1段上昇,0,11
156,変化,自分の俊敏2段上昇,0,43
157,変化,自分の属性を、自分の1番上のスキルと同じ属性に変える,0,204
158,変化,自分の属性を相手の属性と同じにする,0,205
159,変化,自分の痛烈率2段上昇,0,81
160,変化,自分の能力ランクを引き継いで交代,0,61
161,変化,自分は戦闘不能になる　相手の集弾・散弾2段低下,0,89
162,変化,状態変化1/4ダメージ,0,206
163,変化,戦闘不能になるスキルを受けてもHP1で耐える。連続で出すと失敗しやすい,0,179
164,変化,相手が使おうとしている攻撃スキルをダメージを1.5倍にして使う　後攻になると失敗,0,208
165,変化,相手と同じステータス、スキル、アビリティになる,0,229
166,変化,相手のランク補正を自分にコピーする,0,212
167,変化,変化スキル反射,0,180
168,変化,防御結界＋防いだスキルの威力が100以上の場合相手に1/8ダメージ,0,168
169,変化,毎ターンHP1/16回復 交代できなくなる,0,178
170,変化,無防備になり受けるダメージ最大HPの1/16になる,0,230
171,変化,3ターンの間 、相手は攻撃スキルしか出せなくなる,1,174
172,変化,3ターン相手は同じスキルしか使えない,1,173
173,変化,吸収効果　自然属性に無効,1,182
174,変化,交代不可効果,1,183
175,変化,次のターン終了時に相手を停止状態に,1,188
176,変化,自分と相手のアビリティを入れ替える,1,190
177,変化,自分と相手の現在HPを平均する,1,191
178,変化,自分と相手の集弾・散弾ランクを入れ替える,1,192
179,変化,自分と相手の集弾と散弾を平均する,1,193
180,変化,自分と相手の集防・散防ランクを入れ替える,1,194
181,変化,自分と相手の集防・散防を平均する,1,195
182,変化,自分と相手の人形の能力ランクを元に戻す,1,196
183,変化,自分と相手の装飾品を入れ替える,1,197
184,変化,自分の状態異常を相手にうつし自分は回復する,1,203
185,変化,相手が最後に使ったスキルを4ターンの間 使えなくする,1,207
186,変化,相手が次の行動をするまで相手のスキルは雷属性になる,1,209
187,変化,相手のアビリティを活発にする,1,210
188,変化,相手のアビリティを自分と同じアビリティに変える,1,211
189,変化,相手のスキルのうちランダムに2つを4ターン使えなくする。,1,225
190,変化,相手の最後に使ったスキルのSPを4減らす,1,213
191,変化,相手の散弾1段低下,1,14
192,変化,相手の散弾2段低下,1,46
193,変化,相手の散防1段低下,1,15
194,変化,相手の散防2段低下,1,47
195,変化,相手の集弾・散弾1段階低下させ、交代する,1,86
196,変化,相手の集弾1段低下,1,12
197,変化,相手の集弾2段低下,1,44
198,変化,相手の集弾散弾2段上昇、相手を呪いにする,1,232
199,変化,相手の集防1段低下,1,13
200,変化,相手の集防2段低下,1,45
201,変化,相手の俊敏1段低下,1,16
202,変化,相手の俊敏2段低下,1,48
203,変化,相手の能力ランクを反転させる,1,218
204,変化,相手は同じスキルを連続で出せなくなる,1,219
205,変化,相手を暗闇・混乱に,1,246
206,変化,相手を暗闇に,1,22
207,変化,相手を火傷・暗闇に,1,102
208,変化,相手を火傷・恐怖に,1,242
209,変化,相手を火傷に,1,21
210,変化,相手を感電に,1,238
211,変化,相手を怯み,1,223
212,変化,相手を恐怖・混乱に,1,103
213,変化,相手を恐怖に,1,23
214,変化,相手を混乱に,1,26
215,変化,相手を水属性にする,1,220
216,変化,相手を衰弱に,1,101
217,変化,相手を大火傷に,1,28
218,変化,相手を停止に,1,25
219,変化,相手を毒・暗闇に,1,239
220,変化,相手を毒・恐怖に,1,240
221,変化,相手を毒に,1,20
222,変化,相手を麻痺・混乱に,1,104
223,変化,相手を麻痺に,1,24
224,変化,相手を無防備状態にする,1,221
225,変化,相手を猛毒に,1,27
226,変化,相性反転,1,244
227,変化,使うと戦闘不能、バリア、プロテクト、幸運の虹をはる,2,231
228,変化,自分の場にＦバリア効果（相手の拡散スキル半減）,2,91
229,変化,自分の場にＦプロテクト効果（相手の集弾スキル半減）,2,90
230,変化,毎ターンHPが少しずつ回復する,2,222
231,変化,相手のバリアオプション・壁・虹を奪う,3,245
232,変化,相手の場にステルストラップを設置する,3,214
233,変化,相手の場にバインドトラップ効果,3,215
234,変化,相手の場にポイズントラップを設置する,3,216
235,変化,相手の場にマイントラップを設置する,3,217
236,変化,相手を吹き飛ばす,3,57
237,変化,地相発現「黄龍」,4,237
238,変化,地相発現「玄武」,4,159
239,変化,地相発現「朱雀」,4,157
240,変化,地相発現「青龍」,4,156
241,変化,地相発現「白虎」,4,158
242,変化,天候発現「黄砂」,4,155
243,変化,天候発現「極光」,4,153
244,変化,天候発現「天気雨」,4,236
245,変化,天候発現「凪」,4,152
246,変化,天候発現「濃霧」,4,154
247,変化,天地発現「紅霧」　濃霧+朱雀,4,247
248,変化,天地発現「白光」　極光+白虎,4,248
249,変化,天地発現「静穏」　凪+青龍　,4,249
250,変化,天地発現「黄金」　黄砂+黄龍,4,250
251,変化,天地発現「黒雨」　天気雨+玄武,4,251
252,NULL,NULL,0,252
253,NULL,NULL,0,253
254,NULL,NULL,0,254
255,NULL,NULL,0,255
256,NULL,NULL,0,256
257,NULL,NULL,0,257
258,NULL,NULL,0,258
259,NULL,NULL,0,259
260,NULL,NULL,0,260
261,NULL,NULL,0,261
262,NULL,NULL,0,262
263,NULL,NULL,0,263
264,NULL,NULL,0,264
265,NULL,NULL,0,265
266,NULL,NULL,0,266
267,NULL,NULL,0,267
268,NULL,NULL,0,268
269,NULL,NULL,0,269
270,NULL,NULL,0,270
271,NULL,NULL,0,271
272,NULL,NULL,0,272
273,NULL,NULL,0,273
274,NULL,NULL,0,274
275,NULL,NULL,0,275
276,NULL,NULL,0,276
277,NULL,NULL,0,277
278,NULL,NULL,0,278
279,NULL,NULL,0,279
280,NULL,NULL,0,280
281,NULL,NULL,0,281
282,NULL,NULL,0,282
283,NULL,NULL,0,283
284,NULL,NULL,0,284
285,NULL,NULL,0,285
286,NULL,NULL,0,286
287,NULL,NULL,0,287
288,NULL,NULL,0,288
289,NULL,NULL,0,289
290,NULL,NULL,0,290
291,NULL,NULL,0,291
292,NULL,NULL,0,292
293,NULL,NULL,0,293
294,NULL,NULL,0,294
295,NULL,NULL,0,295
296,NULL,NULL,0,296
297,NULL,NULL,0,297
298,NULL,NULL,0,298
299,NULL,NULL,0,299
300,NULL,NULL,0,300
301,NULL,NULL,0,301
302,NULL,NULL,0,302
303,NULL,NULL,0,303
304,NULL,NULL,0,304
305,NULL,NULL,0,305
306,NULL,NULL,0,306
307,NULL,NULL,0,307
308,NULL,NULL,0,308
309,NULL,NULL,0,309
310,NULL,NULL,0,310
311,NULL,NULL,0,311
312,NULL,NULL,0,312
313,NULL,NULL,0,313
314,NULL,NULL,0,314
315,NULL,NULL,0,315
316,NULL,NULL,0,316
317,NULL,NULL,0,317
318,NULL,NULL,0,318
319,NULL,NULL,0,319
320,NULL,NULL,0,320
321,NULL,NULL,0,321
322,NULL,NULL,0,322
323,NULL,NULL,0,323
324,NULL,NULL,0,324
325,NULL,NULL,0,325
326,NULL,NULL,0,326
327,NULL,NULL,0,327
328,NULL,NULL,0,328
329,NULL,NULL,0,329
330,NULL,NULL,0,330
331,NULL,NULL,0,331
332,NULL,NULL,0,332
333,NULL,NULL,0,333
334,NULL,NULL,0,334
335,NULL,NULL,0,335
336,NULL,NULL,0,336
337,NULL,NULL,0,337
338,NULL,NULL,0,338
339,NULL,NULL,0,339
340,NULL,NULL,0,340
341,NULL,NULL,0,341
342,NULL,NULL,0,342
343,NULL,NULL,0,343
344,NULL,NULL,0,344
345,NULL,NULL,0,345
346,NULL,NULL,0,346
347,NULL,NULL,0,347
348,NULL,NULL,0,348
349,NULL,NULL,0,349
350,NULL,NULL,0,350
351,NULL,NULL,0,351
352,NULL,NULL,0,352
353,NULL,NULL,0,353
354,NULL,NULL,0,354
355,NULL,NULL,0,355
356,NULL,NULL,0,356
357,NULL,NULL,0,357
358,NULL,NULL,0,358
359,NULL,NULL,0,359
360,NULL,NULL,0,360
361,NULL,NULL,0,361
362,NULL,NULL,0,362
363,NULL,NULL,0,363
364,NULL,NULL,0,364
365,NULL,NULL,0,365
366,NULL,NULL,0,366
367,NULL,NULL,0,367
368,NULL,NULL,0,368
369,NULL,NULL,0,369
370,NULL,NULL,0,370
371,NULL,NULL,0,371
372,NULL,NULL,0,372
373,NULL,NULL,0,373
374,NULL,NULL,0,374
375,NULL,NULL,0,375
376,NULL,NULL,0,376
377,NULL,NULL,0,377
378,NULL,NULL,0,378
379,NULL,NULL,0,379
380,NULL,NULL,0,380
381,NULL,NULL,0,381
382,NULL,NULL,0,382
383,NULL,NULL,0,383
384,NULL,NULL,0,384
385,NULL,NULL,0,385
386,NULL,NULL,0,386
387,NULL,NULL,0,387
388,NULL,NULL,0,388
389,NULL,NULL,0,389
390,NULL,NULL,0,390
391,NULL,NULL,0,391
392,NULL,NULL,0,392
393,NULL,NULL,0,393
394,NULL,NULL,0,394
395,NULL,NULL,0,395
396,NULL,NULL,0,396
397,NULL,NULL,0,397
398,NULL,NULL,0,398
399,NULL,NULL,0,399
400,NULL,NULL,0,400
401,NULL,NULL,0,401
402,NULL,NULL,0,402
403,NULL,NULL,0,403
404,NULL,NULL,0,404
405,NULL,NULL,0,405
406,NULL,NULL,0,406
407,NULL,NULL,0,407
408,NULL,NULL,0,408
409,NULL,NULL,0,409
410,NULL,NULL,0,410
411,NULL,NULL,0,411
412,NULL,NULL,0,412
413,NULL,NULL,0,413
414,NULL,NULL,0,414
415,NULL,NULL,0,415
416,NULL,NULL,0,416
417,NULL,NULL,0,417
418,NULL,NULL,0,418
419,NULL,NULL,0,419
420,NULL,NULL,0,420
421,NULL,NULL,0,421
422,NULL,NULL,0,422
423,NULL,NULL,0,423
424,NULL,NULL,0,424
425,NULL,NULL,0,425
426,NULL,NULL,0,426
427,NULL,NULL,0,427
428,NULL,NULL,0,428
429,NULL,NULL,0,429
430,NULL,NULL,0,430
431,NULL,NULL,0,431
432,NULL,NULL,0,432
433,NULL,NULL,0,433
434,NULL,NULL,0,434
435,NULL,NULL,0,435
436,NULL,NULL,0,436
437,NULL,NULL,0,437
438,NULL,NULL,0,438
439,NULL,NULL,0,439
440,NULL,NULL,0,440
441,NULL,NULL,0,441
442,NULL,NULL,0,442
443,NULL,NULL,0,443
444,NULL,NULL,0,444
445,NULL,NULL,0,445
446,NULL,NULL,0,446
447,NULL,NULL,0,447
448,NULL,NULL,0,448
449,NULL,NULL,0,449
450,NULL,NULL,0,450
451,NULL,NULL,0,451
452,NULL,NULL,0,452
453,NULL,NULL,0,453
454,NULL,NULL,0,454
455,NULL,NULL,0,455
456,NULL,NULL,0,456
457,NULL,NULL,0,457
458,NULL,NULL,0,458
459,NULL,NULL,0,459
460,NULL,NULL,0,460
461,NULL,NULL,0,461
